lead_id,school_name,city,website,domain,provider,source_query,address,phone,contact_email,contact_role,contact_form_url,contact_page,about_page,about_page_url,staff_page_url,personalization_hook,enriched_at,email1_path,followup_path,brief_path,notes
a3932b76-c80e-4a81-8441-e1d071ba25ef,Maria Montessori House,"Downey, CA",,,serpapi,Montessori Downey CA,"12067 Paramount Blvd, Downey, CA 90242",(562) 861-4308,,,,,,,,,,,,,
3749efef-8d67-4551-a23f-eb3bd0b001d8,Academia Montessori,"Downey, CA",http://academia-montessori.com/,academia-montessori.com,serpapi,Montessori Downey CA,"15108 Studebaker Rd, Norwalk, CA 90650",(562) 474-1848,,,,,,,,,,,,,
144bd78c-bd74-4996-96f6-412bbde350a3,Downey Adult School,"Downey, CA",https://www.das.edu/,das.edu,serpapi,College prep Downey CA,"12340 Woodruff Ave, Downey, CA 90241",(562) 940-6200,,,,,,,,,,,,,
e9b46d27-b980-43d4-96f5-267021aaf235,L.A. Premier Prep,"Downey, CA",http://www.lapremierprep.com/,lapremierprep.com,serpapi,College prep Downey CA,"12544 Rives Ave, Downey, CA 90242",,,,,,,,,,,,,,
41c4b94d-2b43-4f2b-9248-b56dfefc83eb,Los Angeles College Prep Academy,"Downey, CA",http://www.lacpacademy.org/,lacpacademy.org,serpapi,College prep Downey CA,"625 Coleman Ave, Los Angeles, CA 90042",(323) 257-1499,,,,,,,,,,,,,
3d81e986-f719-440d-9fc3-9cb98afd50ce,California Preparatory College,"Downey, CA",http://www.calprepcollege.com/,calprepcollege.com,serpapi,College prep Downey CA,"245 E Redlands Blvd, San Bernardino, CA 92408",(909) 264-3255,,,,,,,,,,,,,
219c5be8-9630-43de-89dd-3d37d9572e20,The College Preparatory School,"Downey, CA",http://www.college-prep.org/,college-prep.org,serpapi,College prep Downey CA,"6100 Broadway, Oakland, CA 94618",(510) 652-0111,,,,,,,,,,,,,
f5055224-d486-42b6-b333-bb8b92a188e2,California University Preparatory School,"Downey, CA",https://caluprep.com/,caluprep.com,serpapi,College prep Downey CA,"18760 Colima Rd, Rowland Heights, CA 91748",(626) 964-9588,,,,,,,,,,,,,
4f2d3524-5b9d-4ef7-abd6-23b9196c4286,Warren High School,"Downey, CA",https://web.dusd.net/warren/,web.dusd.net,serpapi,College prep Downey CA,"8141 De Palma St, Downey, CA 90241",(562) 869-7306,,,,,,,,,,,,,
8ac6f30f-c2b6-462a-b295-70193658dc6e,Los Angeles County Office of Education,"Downey, CA",http://www.lacoe.edu/,lacoe.edu,serpapi,College prep Downey CA,"9300 Imperial Hwy., Downey, CA 90242",(562) 922-6111,,,,,,,,,,,,,
9ddb52db-0c5c-4de0-9f92-57e6e48b5fd9,California Preparatory Academy,"Downey, CA",https://calprep.capousd.org/,calprep.capousd.org,serpapi,College prep Downey CA,"32972 Calle Perfecto, San Juan Capistrano, CA 92675",(949) 234-5317,,,,,,,,,,,,,
c99197a9-ec60-4b9c-873b-dc7a2e855500,St. Pius X - St. Matthias Academy (PMA),"Downey, CA",http://www.piusmatthias.org/,piusmatthias.org,serpapi,College prep Downey CA,"7851 Gardendale St, Downey, CA 90242",(562) 861-2271,,,,,,,,,,,,,
a74c62e0-53b6-4f36-970f-ecdac5ce9e16,AppleOne Employment Services - Downey,"Downey, CA",http://www.appleone.com/,appleone.com,serpapi,College prep Downey CA,"8601 E Florence Ave, Downey, CA 90240",(562) 862-2381,,,,,,,,,,,,,
1036ad54-487f-4bbc-af92-91bfc895b35a,Ascending Life Christian Academy,"Downey, CA",https://www.alcprep.org/contact-us,alcprep.org,serpapi,College prep Downey CA,"420 Date St, Montebello, CA 90640",(323) 814-2233,,,,,,,,,,,,,
430a795f-7b7c-452c-8f4c-9b391ac72344,Bee Academic Tutoring,"Downey, CA",,,serpapi,College prep Downey CA,"9903 Paramount Blvd #287, Downey, CA 90240",(562) 421-3272,,,,,,,,,,,,,
